marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
T-Motor;T-Motor MN705-S KV260;;965;;20;11.0;2;1712.1;6551;6514;6404;6221;5964;5634;5231;4754;4204;3581;2884;2114;1270;354;-;-;88.4;95;582.3;88;1592
Scorpion;Scorpion SII-4035-330;;1212;;18;9.0;2;1222.2;5753;5722;5629;5474;5257;4978;4637;4234;3769;3242;2653;2002;1289;514;-;-;89.7;94;620;89.6;1592
SunnySky;SunnySky X6215S-350;;1196;;18;9.0;2;1207.7;5987;5956;5863;5708;5491;5212;4871;4468;4003;3476;2887;2236;1523;748;-;-;82.3;85;589.6;81.9;1451
T-Motor;T-Motor MN4120-400;;1112;;18;8.0;2;1374.6;6595;6562;6465;6302;6075;5782;5424;5002;4514;3961;3344;2661;1913;1100;223;-;89.8;81;581.9;89.8;1451
T-Motor;T-Motor F1000-300;;996;;20;9.0;2;1614.1;6040;6000;5880;5681;5401;5042;4602;4083;3484;2805;2046;1207;288;-;-;-;86.5;93;593.5;86.2;1451
T-Motor;T-Motor MN701-S KV280;;1157;;20;12.0;2;1286.7;7453;7418;7313;7137;6891;6574;6188;5731;5203;4605;3937;3199;2390;1511;562;-;90.7;89;608.6;90.4;1740
T-Motor;T-Motor P60-340;;1108;;18;10.0;2;1445.9;6238;6208;6120;5972;5765;5499;5174;4789;4346;3843;3281;2661;1981;1242;443;-;84.6;86;611.5;84.4;1592
T-Motor;T-Motor AT4130-300 (Long Shaft);;1134;;20;9.0;2;1370.9;6244;6204;6084;5884;5605;5245;4806;4287;3687;3008;2249;1411;492;-;-;-;88.2;92;581.6;88;1451
T-Motor;T-Motor AT4130-300 (Long Shaft);;1163;;19;11.0;2;1318.9;6551;6519;6422;6261;6035;5744;5389;4969;4484;3935;3322;2644;1901;1093;221;-;88.4;87;565.8;87.9;1592
Scorpion;Scorpion SII-4025-330;;1163;;20;8.0;2;1315.2;6278;6236;6111;5903;5611;5236;4778;4236;3611;2903;2111;1236;277;-;-;-;91.3;92;605.5;91.3;1451
